time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
1024,12.0,9.659538423529412,1,1,864,,,,,,,,,,,,
2048,12.0,10.23320779,2,3,613,0.2,0.0003,2.0692615509033203,10,-0.00880279122502543,0.013284828,0.0556640625,-1.6031593166291713,0.003419220447540283,18.666291069984435,,
3072,12.0,10.19935884,3,6,482,0.2,0.0003,1.7556579113006592,20,-0.004236680787289515,0.0057532224,0.0109375,-1.5920303367078303,0.01790797710418701,15.133507926762103,,
4096,12.0,10.17079818,4,8,494,0.2,0.0003,2.105989933013916,30,-0.007115721635636873,0.00737969,0.026953125,-1.5637349590659142,0.06412583589553833,12.982804572582245,,
5000,,,,,,0.2,0.0003,2.2028205394744873,40,-0.005846922591445036,0.009152774,0.008203125,-1.5353541873395442,0.06867402791976929,10.566532959043979,11.185056399999999,12.0
5120,12.0,10.57378697,5,11,437,,,,,,,,,,,,
6144,12.0,10.582051550000001,6,13,447,0.2,0.0003,1.3408375978469849,50,-0.0020625052726245484,0.0058179772,0.020703125,-1.5317118003964425,0.033499956130981445,11.287924566864968,,
7168,12.0,10.90081674,7,16,428,0.2,0.0003,1.592032551765442,60,-0.010803821455920116,0.014615755,0.09609375,-1.4925807647407054,0.06610792875289917,7.665956345200539,,
8192,12.0,10.97370132,8,18,441,0.2,0.0003,0.9349859952926636,70,-0.003184661897830665,0.006432295,0.01806640625,-1.4808050669729709,0.09846764802932739,6.743021611124277,,
9216,12.0,10.941366229999996,9,21,437,0.2,0.0003,0.5636475682258606,80,-0.00633948216564022,0.008738654,0.02626953125,-1.4545233003795146,0.37988370656967163,5.194424599409103,,
10000,,,,,,0.2,0.0003,6.550708293914795,90,-0.010607521813653875,0.01481224,0.1947265625,-1.4733877889811993,0.14829927682876587,21.54467308819294,11.7699165,12.0
10240,12.0,10.913407960000002,10,22,446,,,,,,,,,,,,
11264,12.0,10.94406546,11,25,444,0.2,0.0003,0.2974023222923279,100,-0.005197040044004097,0.010327527,0.05185546875,-1.4830163292586804,0.8220745921134949,3.131412169709802,,
12288,12.0,10.97824868,12,27,454,0.2,0.0003,0.3704533576965332,110,-0.00598476417872007,0.011777731,0.08408203125,-1.486598476022482,0.36457592248916626,10.297966896742583,,
13312,12.0,10.977635009999998,13,28,459,0.2,0.0003,6.95925235748291,120,-0.005109839612850919,0.007574846,0.0619140625,-1.446949341148138,0.3578304648399353,11.26649943292141,,
14336,12.0,11.229455729999998,14,32,438,0.2,0.0003,0.2198849767446518,130,-0.02006114324030932,0.014898562,0.14375,-1.3806723915040493,0.9348483681678772,1.5929954478517174,,
15000,,,,,,0.2,0.0003,0.20027890801429749,140,-0.010953666309796972,0.013420403,0.06943359375,-1.310551007091999,0.9517025351524353,1.3701727338135243,11.926343,12.0
15360,11.99,11.31410538,15,36,418,,,,,,,,,,,,
16384,12.0,11.190402729999999,16,38,425,0.2,0.0003,4.311716079711914,150,-0.01087289191345917,0.010663491,0.18408203125,-1.3036637090146541,0.22133207321166992,26.32321433387697,,
17408,12.0,11.343019410000002,17,41,424,0.2,0.0003,0.15075379610061646,160,-0.010292588837910444,0.010264872,0.05927734375,-1.2747835725545884,0.9537836313247681,0.7694202878512442,,
18432,12.0,11.48174996,18,42,431,0.2,0.0003,0.05712137371301651,170,-0.014274824579479173,0.01320227,0.1046875,-1.237868282198906,0.9700983762741089,0.738618141040206,,
19456,12.0,11.55681657,19,44,437,0.2,0.0003,0.09670259058475494,180,-0.013463411154225469,0.010041025,0.0947265625,-1.1992253378033637,0.9763984084129333,0.5946230465546251,,
